x,y
713,127
712,128
707,128
706,129
702,129
701,130
698,130
697,131
694,131
693,132
691,132
690,133
688,133
687,134
685,134
684,135
682,135
681,136
679,136
678,137
676,137
675,138
673,138
672,139
671,139
670,140
669,140
668,141
666,141
665,142
664,142
663,143
662,143
661,144
660,144
658,146
657,146
656,147
655,147
653,149
652,149
651,150
650,150
648,152
647,152
644,155
643,155
637,161
636,161
596,201
596,202
547,251
547,252
544,255
543,255
542,256
542,257
539,260
538,260
537,261
533,261
532,260
530,260
529,259
526,259
525,258
522,258
521,257
519,257
518,256
515,256
514,255
511,255
510,254
508,254
507,253
504,253
503,252
501,252
500,251
497,251
496,250
494,250
493,249
489,249
488,248
486,248
485,247
484,247
482,245
491,236
491,235
492,234
492,232
493,231
493,220
492,219
492,217
491,216
491,214
490,213
490,212
488,210
488,209
482,203
481,203
479,201
477,201
475,199
472,199
471,198
460,198
459,199
457,199
456,200
455,200
426,229
425,229
424,230
422,230
421,229
418,229
417,228
414,228
413,227
411,227
410,226
407,226
406,225
403,225
402,224
400,224
399,223
397,223
396,222
393,222
392,221
389,221
388,220
386,220
385,219
382,219
381,218
379,218
378,217
375,217
374,216
372,216
371,215
368,215
367,214
365,214
364,213
361,213
360,212
357,212
356,211
353,211
352,210
350,210
349,209
346,209
345,208
342,208
341,207
339,207
338,206
335,206
334,205
332,205
331,204
328,204
327,203
325,203
324,202
321,202
320,201
318,201
317,200
314,200
313,199
311,199
310,198
306,198
305,197
303,197
302,196
300,196
299,195
296,195
295,194
292,194
291,193
288,193
287,192
285,192
284,191
281,191
280,190
278,190
277,189
274,189
273,188
271,188
270,187
267,187
266,186
264,186
263,185
260,185
259,184
257,184
256,183
253,183
252,182
249,182
248,181
246,181
245,180
242,180
241,179
239,179
238,178
235,178
234,177
231,177
230,176
227,176
226,175
224,175
223,174
219,174
218,173
213,173
212,174
209,174
208,175
207,175
200,182
199,182
195,186
195,187
185,197
184,197
181,200
181,201
180,202
179,202
178,203
179,204
179,206
180,207
181,207
182,208
183,208
185,210
186,210
187,211
188,211
190,213
191,213
192,214
193,214
194,215
195,215
197,217
198,217
199,218
200,218
201,219
202,219
204,221
205,221
206,222
207,222
208,223
209,223
211,225
212,225
213,226
214,226
216,228
217,228
218,229
219,229
220,230
221,230
223,232
224,232
225,233
226,233
227,234
228,234
230,236
231,236
232,237
233,237
234,238
235,238
237,240
238,240
239,241
240,241
242,243
243,243
244,244
245,244
246,245
247,245
249,247
250,247
251,248
252,248
253,249
254,249
256,251
257,251
258,252
259,252
261,254
262,254
263,255
264,255
265,256
266,256
267,257
268,257
269,258
270,258
272,260
273,260
274,261
275,261
277,263
278,263
279,264
280,264
282,266
283,266
284,267
285,267
286,268
287,268
288,269
289,269
291,271
292,271
293,272
294,272
296,274
297,274
298,275
299,275
300,276
301,276
